symbol,name,exchange
262840.KQ,아이퀘스트,코스닥
950210.KS,프레스티지바이오파마,유가
277810.KQ,레인보우로보틱스,코스닥
321820.KQ,아티스트컴퍼니,코스닥
248070.KS,솔루엠,유가
163730.KQ,핑거,코스닥
348030.KQ,모비릭스,코스닥
352700.KQ,씨앤투스,코스닥
086710.KQ,선진뷰티사이언스,코스닥
375500.KS,DL이앤씨,유가
236810.KQ,엔비티,코스닥
368770.KQ,파이버프로,코스닥
257990.KS,나우코스,코넥스
253610.KS,루트락,코넥스
365550.KS,ESR켄달스퀘어리츠,유가
369370.KQ,블리츠웨이엔터테인먼트,코스닥
357550.KQ,석경에이티,코스닥
314130.KQ,지놈앤컴퍼니,코스닥
335810.KQ,프리시젼바이오,코스닥
347860.KQ,알체라,코스닥
365590.KQ,하이딥,코스닥
064850.KQ,에프앤가이드,코스닥
356860.KQ,티엘비,코스닥
352940.KQ,인바이오,코스닥
354200.KQ,엔젠바이오,코스닥
317690.KQ,퀀타매트릭스,코스닥
009900.KS,명신산업,유가
352770.KQ,셀레스트라,코스닥
318020.KQ,포인트모바일,코스닥
129890.KQ,앱코,코스닥
265740.KQ,엔에프씨,코스닥
199820.KQ,제일일렉트릭,코스닥
299030.KQ,하나기술,코스닥
244920.KS,에이플러스에셋,유가
340570.KQ,티앤엘,코스닥
348150.KQ,고바이오랩,코스닥
330860.KQ,네패스아크,코스닥
339770.KS,교촌에프앤비,유가
290690.KQ,소룩스,코스닥
348350.KQ,위드텍,코스닥
347000.KQ,센코,코스닥
301300.KQ,바이브컴퍼니,코스닥
122830.KS,원포유,코넥스
214610.KQ,롤링스톤,코스닥
304840.KQ,피플바이오,코스닥
352820.KS,하이브,유가
348210.KQ,넥스틴,코스닥
053080.KQ,케이엔솔,코스닥
126340.KQ,비나텍,코스닥
359090.KQ,씨엔알리서치,코스닥
323990.KQ,박셀바이오,코스닥
363280.KS,티와이홀딩스,유가
318410.KQ,비비씨,코스닥
355150.KQ,코스텍시스,코스닥
347770.KQ,핌스,코스닥
291650.KQ,압타머사이언스,코스닥
294090.KQ,이오플로우,코스닥
293490.KQ,카카오게임즈,코스닥
347740.KQ,피엔케이피부임상연구센타,코스닥
